"code","description"
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST"
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST"
"RFW","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST"
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST"
"RGM","PAPWORTH HOSPITAL NHS FOUNDATION TRUST"
"RGN","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST"
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"RGQ","IPSWICH HOSPITAL NHS TRUST"
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST"
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"RH5","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST"
"RH8","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST"
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST"
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST"
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST"
"RHU","PORTSMOUTH HOSPITALS NHS TRUST"
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST"
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST"
"RJ2","LEWISHAM AND GREENWICH NHS TRUST"
"RJ6","CROYDON HEALTH SERVICES NHS TRUST"
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST"
"RJC","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST"
"RJD","MID STAFFORDSHIRE NHS FOUNDATION TRUST"
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST"
"RJF","BURTON HOSPITALS NHS FOUNDATION TRUST"
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST"
"RJN","EAST CHESHIRE NHS TRUST"
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST"
"RJX","CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST"
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST"
"RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST"
"RK9","PLYMOUTH HOSPITALS NHS TRUST"
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST"
"RKE","THE WHITTINGTON HOSPITAL NHS TRUST"
"RKL","WEST LONDON MENTAL HEALTH NHS TRUST"
"RL1","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST"
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST"
"RLN","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST"
"RLQ","WYE VALLEY NHS TRUST"
"RLT","GEORGE ELIOT HOSPITAL NHS TRUST"
"RLU","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST"
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST"
"RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"RM2","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST"
"RM3","SALFORD ROYAL NHS FOUNDATION TRUST"
"RMC","BOLTON NHS FOUNDATION TRUST"
"RMP","TAMESIDE HOSPITAL NHS FOUNDATION TRUST"
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST"
"RN3","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST"
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST"
"RN7","DARTFORD AND GRAVESHAM NHS TRUST"
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST"
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST"
"RNL","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST"
"RNN","CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST"
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST"
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST"
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST"
"RNZ","SALISBURY NHS FOUNDATION TRUST"
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST"
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST"
"RP5","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST"
"RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST"
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST"
"RPA","MEDWAY NHS FOUNDATION TRUST"
"RPC","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST"
"RPG","OXLEAS NHS FOUNDATION TRUST"
